epoch,g_loss,s_acc,s_loss,u_acc,u_loss,val_g_loss,val_s_acc,val_s_loss,val_u_acc,val_u_loss
0,0.5738577246665955,0.38072916865348816,1.1178886890411377,0.8059895634651184,0.5331752300262451,0.6320887207984924,0.40833333134651184,1.0994396209716797,0.9114583134651184,0.9770610332489014
0,0.6040490865707397,0.3447916805744171,1.1690361499786377,0.7380208373069763,0.5671600103378296,0.637442409992218,0.33125001192092896,1.1462337970733643,0.762499988079071,0.9579044580459595
0,0.617958128452301,0.3473958373069763,1.134564995765686,0.764843761920929,0.5703506469726562,0.674429178237915,0.3645833432674408,1.1048635244369507,0.8520833253860474,0.9660204648971558
1,0.9217193126678467,0.43958333134651184,1.062089204788208,0.8815104365348816,0.49978646636009216,0.717825710773468,0.3895833194255829,1.1256279945373535,0.981249988079071,0.9789762496948242
2,0.7837736010551453,0.5151041746139526,0.9941472411155701,0.9091145992279053,0.4821307957172394,0.7651013731956482,0.4000000059604645,1.0655015707015991,0.8041666746139526,0.950316309928894
3,1.130517601966858,0.5630208253860474,0.9363906383514404,0.8169270753860474,0.5356320142745972,0.7902665734291077,0.46875,1.0326905250549316,0.8843749761581421,0.9639914035797119
4,1.103804349899292,0.6229166388511658,0.865666389465332,0.7770833373069763,0.5708835124969482,0.7332532405853271,0.4749999940395355,1.0116302967071533,0.8343750238418579,0.9625198841094971
5,1.0110634565353394,0.6505208611488342,0.7931788563728333,0.8880208134651184,0.44674116373062134,0.8030132055282593,0.53125,0.961459219455719,0.8333333134651184,0.9598195552825928
6,1.9603424072265625,0.6916666626930237,0.7212039232254028,0.7955729365348816,0.5090886354446411,1.1334929466247559,0.5041666626930237,0.9626138210296631,0.956250011920929,0.9726884961128235
7,0.9713186025619507,0.731249988079071,0.6625984311103821,0.9322916865348816,0.38328731060028076,0.82083660364151,0.5062500238418579,1.063694715499878,0.8833333253860474,0.9673851728439331
8,0.8411908745765686,0.745312511920929,0.6191698908805847,0.848437488079071,0.5017911195755005,0.6463999152183533,0.5687500238418579,0.9464061856269836,0.8916666507720947,0.9863526821136475
9,1.1437255144119263,0.7598958611488342,0.5714825987815857,0.8473958373069763,0.48077359795570374,0.687109649181366,0.5604166388511658,0.9498057961463928,0.7885416746139526,0.9815343618392944
