complexity,loss,score,equation,sympy_format,lambda_format
1,0.0062903157,0.0,0.55002594,0.550025940000000,PySRFunction(X=>0.550025940000000)
3,0.00522315,0.0929552960315672,(r * 0.027373096),0.027373096*r,PySRFunction(X=>0.027373096*r)
5,0.004746229,0.047875130080160595,((r * 0.06157828) + -0.68886405),0.06157828*r - 0.68886405,PySRFunction(X=>0.06157828*r - 0.68886405)
7,0.0046505295,0.010184661962096166,(((r * 1.7387855) - 23.33308) / g),(1.7387855*r - 23.33308)/g,PySRFunction(X=>(1.7387855*r - 23.33308)/g)
9,0.0045175008,0.014511081755435813,((-1.9877417 - (-13.750141 / g)) - (r * -0.09376931)),0.09376931*r - 1.9877417 + 13.750141/g,PySRFunction(X=>0.09376931*r - 1.9877417 + 13.750141/g)
11,0.00421005,0.03524219823250153,(((r * 0.18271963) - 1.7715839) + ((g * i) * -0.0033013185)),-0.0033013185*g*i + 0.18271963*r - 1.7715839,PySRFunction(X=>-0.0033013185*g*i + 0.18271963*r - 1.7715839)
13,0.004187353,0.0027028660254646637,((((g - (0.016749786 - i)) * -0.064520545) + (r * 0.18070564)) + -0.47128507),-0.064520545*g - 0.064520545*i + 0.18070564*r - 0.470204364678647,PySRFunction(X=>-0.064520545*g - 0.064520545*i + 0.18070564*r - 0.470204364678647)
15,0.003924343,0.03243492168454037,(((((i / r) - r) / -0.28594872) - ((g + i) + i)) * 0.0779617),-0.0779617*g - 0.1559234*i - 0.272642241587932*i/r + 0.272642241587932*r,PySRFunction(X=>-0.0779617*g - 0.1559234*i - 0.272642241587932*i/r + 0.272642241587932*r)
17,0.003918889,0.0006953767119335319,(((((0.0028837093 - r) / -0.28506237) - ((g + (i + -2.0623362)) + i)) * 0.076705106) + -0.4245402),-0.076705106*g - 0.153410212*i + 0.269081836371458*r - 0.267124436965368,PySRFunction(X=>-0.076705106*g - 0.153410212*i + 0.269081836371458*r - 0.267124436965368)
19,0.003917514,0.00017546315753672696,(((((i / (i + (g / z))) - r) / -0.28642637) - ((g + i) + i)) * 0.07832798),-0.07832798*g - 0.15665596*i - 0.273466371130563*i/(g/z + i) + 0.273466371130563*r,PySRFunction(X=>-0.07832798*g - 0.15665596*i - 0.273466371130563*i/(g/z + i) + 0.273466371130563*r)
