GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err,T_RT,T_RT_err
80310,2.43,1.83E-07,1.72E-08,5.49E-06,2.90E-07,,,0.038,0.021,28,6,0.41,0.55,,
080319B,0.94,1.55E-05,1.91E-07,5.25E-04,3.94E-06,,0.02,0.01,0.031,0.003,651,8,0.14,0.01,
080319C,1.95,2.22E-06,7.79E-08,1.77E-05,2.99E-07,,,0.042,0.007,307,56,0.21,0.12,,
80330,1.51,1.33E-07,1.80E-08,8.77E-07,1.26E-07,,,0.109,0.06,20,9,,,,
80411,1.03,1.04E-05,1.31E-07,8.75E-05,2.01E-07,,0.21,0.01,0.167,0.003,259,16,0.65,0.01,
080413A,2.43,1.22E-06,2.65E-08,9.86E-06,1.71E-07,,0.13,0.03,0.078,0.004,170,24,0.23,0.03,
080413B,1.1,3.17E-06,8.25E-08,8.00E-06,1.52E-07,,0.23,0.01,0.004,0.003,73,10,0.5,0.03,
80430,0.77,4.60E-07,2.15E-08,3.01E-06,1.53E-07,,0.68,0.08,0.009,0.004,80,15,0.76,0.12,
80516,3.2,2.77E-07,2.80E-08,5.88E-07,5.50E-08,,0.15,0.01,0.168,0.055,66,24,,,
80520,1.55,8.23E-08,1.00E-08,1.59E-07,3.00E-08,,,0.037,0.098,12,5,,,,
080603B,2.69,7.57E-07,2.63E-08,7.02E-06,1.78E-07,,0.08,0.01,0.283,0.01,85,18,0.22,0.03,
80605,1.64,5.99E-06,1.10E-07,4.72E-05,4.32E-07,,0.11,0.01,0.057,0.003,246,11,0.22,0.01,
80607,3.04,8.35E-06,2.42E-07,1.00E-04,0.00E+00,,0.04,0.01,0.035,0.003,394,33,0.18,0.06,
80707,1.23,1.68E-07,1.02E-08,1.26E-06,8.87E-08,,,0.093,0.032,73,20,,,,
80721,2.6,9.57E-06,5.01E-07,5.99E-05,3.04E-06,,0.13,0.05,0.048,0.009,485,36,0.09,0.04,
90423,8.2,2.17E-07,1.55E-08,1.15E-06,4.73E-08,,,,48.6,3.8,,,,,
