Complexity|MSE|Equation
1|0.0039858795|0.5268709
3|0.0034584482|(r * 0.025902241)
5|0.0030832733|((r * 0.072871104) - 0.9564901)
7|0.0020512925|((r * 0.29675943) - (i * 0.2837897))
9|0.0020147387|(6.579618 - (((i * 5.484597) + 16.635067) / r))
11|0.0019590838|(((r + -14.51485) + ((r - i) * 6.20805)) / g)
13|0.0019551765|((((r + 84.13467) / i) + ((-102.045876 - g) / r)) - -1.2424846)
15|0.0019185897|(((r + (u * -0.11231361)) + (((r - i) * 6.297718) - 11.924731)) / g)
