Complexity|MSE|Equation
1|0.6079444|0.45326898
3|0.5671331|(z * 0.028114198)
5|0.39760613|((i * 0.26667428) + -4.292023)
7|0.38054794|(i - ((-235.45226 / i) + 30.694674))
9|0.37744027|(((i * r) * 0.0098062055) + (u * -0.13668962))
11|0.37105384|((((r / u) * (i * 0.0103525)) - 0.1441769) * i)
13|0.36774197|((((r / u) * (i * 0.00050524424)) - 0.006991917) * (i * r))
15|0.3604821|((((r * -0.011828607) + 0.18649468) * (((u - i) / 0.23553269) - r)) * 1.3462927)
19|0.35743576|((((r * i) * 0.0005610375) + (u * -0.0075791925)) * (r + (((r - u) * 4.5591555) - 0.023383431)))
