complexity,loss,score,equation,sympy_format,lambda_format
1,0.005994542,0.0,0.51962835,0.519628350000000,PySRFunction(X=>0.519628350000000)
5,0.0056021255,0.016925827315821016,((-6.642838 / i) - -0.86381733),0.86381733 - 6.642838/i,PySRFunction(X=>0.86381733 - 6.642838/i)
7,0.0054730363,0.011656267300335728,(((-86.69102 / z) / i) + 0.75778013),0.75778013 - 86.69102/(i*z),PySRFunction(X=>0.75778013 - 86.69102/(i*z))
9,0.0054486324,0.0022344516469698077,(0.68797785 - ((1177.1871 / i) / (i * z))),0.68797785 - 1177.1871/(i**2*z),PySRFunction(X=>0.68797785 - 1177.1871/(i**2*z))
11,0.0054431916,0.000499530698673527,(((r - 94.691315) / ((i * z) - u)) - -0.7348543),(r - 94.691315)/(i*z - u) + 0.7348543,PySRFunction(X=>(r - 94.691315)/(i*z - u) + 0.7348543)
13,0.0054355115,0.0007059758139667496,(((r - 86.77638) / (((i * z) - u) - u)) - -0.7247063),(r - 86.77638)/(i*z - 2*u) + 0.7247063,PySRFunction(X=>(r - 86.77638)/(i*z - 2*u) + 0.7247063)
15,0.0054270197,0.0007817516537840408,(((((z + -0.1362927) * -0.0023823346) + 0.11924814) * ((z + -0.8553286) - -0.15095006)) - 0.83399063),(0.119572834814937 - 0.0023823346*z)*(z - 0.70437854) - 0.83399063,PySRFunction(X=>(0.119572834814937 - 0.0023823346*z)*(z - 0.70437854) - 0.83399063)
17,0.0054198024,0.0006653839252253611,((-41.542362 / (((((i + -12.506393) * z) - -73.55628) + (r - u)) + -0.14999147)) + 0.72693104),0.72693104 - 41.542362/(r - u + z*(i - 12.506393) + 73.40628853),PySRFunction(X=>0.72693104 - 41.542362/(r - u + z*(i - 12.506393) + 73.40628853))
