complexity,loss,score,equation,sympy_format,lambda_format
1,0.0069824005,0.0,0.56055105,0.560551050000000,PySRFunction(X=>0.560551050000000)
3,0.006352439,0.04727696758889462,(z / 34.29576),0.0291581233365291*z,PySRFunction(X=>0.0291581233365291*z)
5,0.006164124,0.015046399792293549,((r - 8.423116) / g),(r - 8.423116)/g,PySRFunction(X=>(r - 8.423116)/g)
7,0.006039645,0.010200399338909464,(((r / 0.6041933) - g) * 0.044940982),-0.044940982*g + 0.0743817947004708*r,PySRFunction(X=>-0.044940982*g + 0.0743817947004708*r)
9,0.0059857676,0.004480325315312445,(((r / 0.4353738) - (g + i)) * 0.09490474),-0.09490474*g - 0.09490474*i + 0.217984499756301*r,PySRFunction(X=>-0.09490474*g - 0.09490474*i + 0.217984499756301*r)
11,0.0058460804,0.011806582583185421,((r * 0.10903393) - ((i / (r / g)) * 0.080589175)),-0.080589175*g*i/r + 0.10903393*r,PySRFunction(X=>-0.080589175*g*i/r + 0.10903393*r)
13,0.005824906,0.0018142788027411371,(((r - -1.0202031) * 0.1032696) - ((i / (r / g)) * 0.08009393)),-0.08009393*g*i/r + 0.1032696*r + 0.10535596605576,PySRFunction(X=>-0.08009393*g*i/r + 0.1032696*r + 0.10535596605576)
15,0.005824563,2.9443402107000392e-05,((r * 0.10350135) - (((i - 0.20403) / (r / (g + -0.96006227))) / 12.566848)),0.10350135*r - 0.0795744485809011*(g - 0.96006227)*(i - 0.20403)/r,PySRFunction(X=>0.10350135*r - 0.0795744485809011*(g - 0.96006227)*(i - 0.20403)/r)
17,0.0057391156,0.0073894266864454,((r * 0.09064167) - ((i / (((z + (0.43716335 - i)) + r) / g)) / 15.90862)),-0.062859003483646*g*i/(-i + r + z + 0.43716335) + 0.09064167*r,PySRFunction(X=>-0.062859003483646*g*i/(-i + r + z + 0.43716335) + 0.09064167*r)
19,0.0057344357,0.00040788594020862426,((r * 0.091509126) - (((i - 0.995435) / (((z + (-0.41799825 - i)) + r) / g)) / 15.542126)),-0.0643412619354649*g*(i - 0.995435)/(-i + r + z - 0.41799825) + 0.091509126*r,PySRFunction(X=>-0.0643412619354649*g*(i - 0.995435)/(-i + r + z - 0.41799825) + 0.091509126*r)
