complexity,loss,score,equation,sympy_format,lambda_format
1,0.034748297,0.0,0.13087642,0.130876420000000,PySRFunction(X=>0.130876420000000)
3,0.033107195,0.024189966626611253,(r * 0.0077176634),0.0077176634*r,PySRFunction(X=>0.0077176634*r)
5,0.027391989,0.09475001599014707,((g * 0.06297061) + -1.0289634),0.06297061*g - 1.0289634,PySRFunction(X=>0.06297061*g - 1.0289634)
7,0.026301306,0.020316001318329925,(2.1221392 - ((u - -16.714222) / g)),2.1221392 - (u + 16.714222)/g,PySRFunction(X=>2.1221392 - (u + 16.714222)/g)
9,0.025296278,0.019480662729468714,(3.0950162 - ((u - (-17.534882 - z)) / g)),3.0950162 - (u + z + 17.534882)/g,PySRFunction(X=>3.0950162 - (u + z + 17.534882)/g)
11,0.023043202,0.04664323421032154,((-0.4718712 - (g * -0.38221303)) + ((r + u) * -0.17146266)),0.38221303*g - 0.17146266*r - 0.17146266*u - 0.4718712,PySRFunction(X=>0.38221303*g - 0.17146266*r - 0.17146266*u - 0.4718712)
13,0.022198604,0.018670698923884108,(((u - (g + g)) * -0.15712379) - ((z * 0.11516975) + 0.56889224)),0.31424758*g - 0.15712379*u - 0.11516975*z - 0.56889224,PySRFunction(X=>0.31424758*g - 0.15712379*u - 0.11516975*z - 0.56889224)
15,0.0204718,0.040490537324780605,((((z - ((u - z) / 0.43786326)) * (u - g)) - g) * -0.027697211),0.027697211*g - 0.027697211*(-g + u)*(-2.2838180120433*u + 3.2838180120433*z),PySRFunction(X=>0.027697211*g - 0.027697211*(-g + u)*(-2.2838180120433*u + 3.2838180120433*z))
17,0.020410297,0.0015044004811759386,((((r - ((u - z) / 0.42029056)) * (u - g)) - (u - 1.4255682)) * -0.030366546),0.030366546*u - 0.030366546*(-g + u)*(r - 2.37930635415651*u + 2.37930635415651*z) - 0.0432895823214372,PySRFunction(X=>0.030366546*u - 0.030366546*(-g + u)*(r - 2.37930635415651*u + 2.37930635415651*z) - 0.0432895823214372)
19,0.020004531,0.010040365255405805,((((z - ((u - i) / 0.4330988)) * (u - g)) - u) * (-0.0016340201 / (1.1305335 / z))),-0.0014453531009917*z*(-u + (-g + u)*(2.30894197813524*i - 2.30894197813524*u + z)),PySRFunction(X=>-0.0014453531009917*z*(-u + (-g + u)*(2.30894197813524*i - 2.30894197813524*u + z)))
