epoch,loss,mse,val_loss,val_mse
0,0.43740272521972656,0.43740272521972656,0.2635032832622528,0.2635032832622528
1,0.01657140627503395,0.01657140627503395,0.16120176017284393,0.16120176017284393
2,0.007979992777109146,0.007979992777109146,0.10784441232681274,0.10784441232681274
3,0.0034468071535229683,0.0034468071535229683,0.07228099554777145,0.07228099554777145
4,0.003723044414073229,0.003723044414073229,0.07341579347848892,0.07341579347848892
5,0.0021228056866675615,0.0021228056866675615,0.03901754319667816,0.03901754319667816
6,0.0019056453602388501,0.0019056453602388501,0.04545513540506363,0.04545513540506363
7,0.001798932789824903,0.001798932789824903,0.047394998371601105,0.047394998371601105
8,0.0017121105920523405,0.0017121105920523405,0.02866967022418976,0.02866967022418976
9,0.001668157521635294,0.001668157521635294,0.03138192370533943,0.03138192370533943
10,0.0016377626452594995,0.0016377626452594995,0.035049889236688614,0.035049889236688614
11,0.0018620184855535626,0.0018620184855535626,0.021279579028487206,0.021279579028487206
12,0.0018165868241339922,0.0018165868241339922,0.10630488395690918,0.10630488395690918
13,0.001579389674589038,0.001579389674589038,0.11594729870557785,0.11594729870557785
14,0.0015425961464643478,0.0015425961464643478,0.026602426543831825,0.026602426543831825
15,0.0015344953862950206,0.0015344953862950206,0.021633168682456017,0.021633168682456017
16,0.0015402062563225627,0.0015402062563225627,0.02294011600315571,0.02294011600315571
17,0.0015318344812840223,0.0015318344812840223,0.043412499129772186,0.043412499129772186
18,0.001568223931826651,0.001568223931826651,0.053076568990945816,0.053076568990945816
19,0.011440594680607319,0.011440594680607319,0.07939369231462479,0.07939369231462479
20,0.002291050972416997,0.002291050972416997,0.045516882091760635,0.045516882091760635
21,0.0016190679743885994,0.0016190679743885994,0.026985786855220795,0.026985786855220795
22,0.001564543228596449,0.001564543228596449,0.028432726860046387,0.028432730585336685
23,0.0015514541883021593,0.0015514541883021593,0.03943108394742012,0.03943108394742012
24,0.001535289571620524,0.001535289571620524,0.023689549416303635,0.023689549416303635
25,0.001564520294778049,0.001564520294778049,0.035448044538497925,0.035448044538497925
26,0.0015338258817791939,0.0015338258817791939,0.046359583735466,0.046359583735466
27,0.0015374051872640848,0.0015374051872640848,0.033564552664756775,0.033564552664756775
28,0.0015075390692800283,0.0015075390692800283,0.028737099841237068,0.028737099841237068
29,0.0015215696766972542,0.0015215696766972542,0.03811762109398842,0.03811762109398842
30,0.0015347538283094764,0.0015347538283094764,0.03207587078213692,0.03207587078213692
31,0.0015135726425796747,0.0015135726425796747,0.16017529368400574,0.16017529368400574
